date,description,amount,type,payment_mode
2025-02-20,Movie,10686,debit,UPI
2025-04-23,Mutual Fund,10788,debit,UPI
2025-08-22,Ola,6770,debit,UPI
2025-05-10,Zomato,14297,debit,UPI
2025-07-06,Amazon,6575,debit,UPI
2025-03-14,Flipkart,17155,debit,UPI
2025-09-01,Amazon,16964,debit,UPI
2025-01-03,Spotify,6964,debit,UPI
2025-06-08,Swiggy,5320,debit,UPI
2025-02-06,Swiggy,9769,debit,UPI
2025-02-27,Uber,18167,debit,UPI
2025-06-15,Spotify,8433,debit,UPI
2025-07-20,Uber,4766,debit,UPI
2025-08-13,Water,8053,debit,UPI
2025-03-11,House Rent,8182,debit,UPI
2025-06-18,Zomato,1230,debit,UPI
2025-08-27,House Rent,8598,debit,UPI
2025-08-06,Flipkart,3272,debit,UPI
2025-01-19,Water,1180,debit,UPI
2025-06-23,Amazon,19063,debit,UPI
2025-03-17,Electricity,10492,debit,UPI
2025-01-11,Stock,16035,debit,UPI
2025-06-07,Ola,5779,debit,UPI
2025-01-10,Mutual Fund,15181,debit,UPI
2025-05-07,Mutual Fund,4773,credit,UPI
2025-03-30,Movie,16357,debit,UPI
2025-04-30,Spotify,19341,debit,UPI
2025-03-21,Stock,7997,debit,UPI
2025-03-01,Ola,12458,debit,UPI
2025-04-09,Game,11452,debit,UPI
2025-03-22,House Rent,5446,debit,UPI
2025-01-01,House Rent,13694,debit,UPI
2025-07-11,Uber,10706,debit,UPI
2025-08-11,Uber,15677,debit,UPI
2025-03-20,Amazon,1457,debit,UPI
2025-03-01,Game,799,debit,UPI
2025-03-27,Zomato,7420,debit,UPI
2025-07-09,House Rent,10739,debit,UPI
2025-08-29,Amazon,15438,debit,UPI
2025-01-18,House Rent,11296,debit,UPI
2025-03-28,Water,16052,debit,UPI
2025-08-13,Mutual Fund,16984,debit,UPI
2025-02-12,Prime,15310,debit,UPI
2025-07-30,Mutual Fund,10088,debit,UPI
2025-07-07,Electricity,16598,debit,UPI
2025-03-10,Mutual Fund,16847,debit,UPI
2025-04-29,House Rent,6243,debit,UPI
2025-06-11,Zomato,11737,debit,UPI
2025-04-18,Amazon,19069,debit,UPI
2025-05-12,Flipkart,8806,debit,UPI
2025-07-15,Stock,5927,credit,UPI
2025-06-04,Game,18361,debit,UPI
2025-06-25,House Rent,5052,debit,UPI
2025-04-06,Stock,11433,debit,UPI
2025-09-05,Stock,9127,credit,UPI
2025-08-11,Amazon,10246,debit,UPI
2025-07-16,Amazon,4755,debit,UPI
2025-03-15,Uber,13410,debit,UPI
2025-08-18,Game,7089,debit,UPI
2025-08-18,Stock,16414,credit,UPI
2025-03-02,Zomato,11828,debit,UPI
2025-08-23,Electricity,12196,debit,UPI
2025-03-23,Prime,3915,debit,UPI
2025-06-29,Movie,7992,debit,UPI
2025-04-04,Water,782,debit,UPI
2025-02-17,Water,6968,debit,UPI
2025-05-24,Ola,9988,debit,UPI
2025-01-20,Amazon,10628,debit,UPI
2025-06-04,Zomato,10135,debit,UPI
2025-05-17,Spotify,1635,debit,UPI
2025-08-29,Flipkart,7254,debit,UPI
2025-03-13,Uber,15657,debit,UPI
2025-02-03,Water,15186,debit,UPI
2025-05-04,House Rent,15879,debit,UPI
2025-03-24,Mutual Fund,9211,debit,UPI
2025-04-26,Amazon,16704,debit,UPI
2025-07-07,House Rent,18405,debit,UPI
2025-03-01,House Rent,3709,debit,UPI
2025-07-09,Game,19974,debit,UPI
2025-01-19,Electricity,14572,debit,UPI
2025-01-03,Game,19960,debit,UPI
2025-02-02,House Rent,16430,debit,UPI
2025-03-19,Mutual Fund,16180,debit,UPI
2025-08-12,Game,13678,debit,UPI
2025-04-04,Stock,872,debit,UPI
2025-02-04,Electricity,5155,debit,UPI
2025-04-18,Prime,18398,debit,UPI
2025-06-26,House Rent,6980,debit,UPI
2025-01-12,House Rent,4517,debit,UPI
2025-01-25,Uber,7129,debit,UPI
2025-08-05,Prime,13796,debit,UPI
2025-05-22,Ola,6103,debit,UPI
2025-01-04,Prime,9884,debit,UPI
2025-03-06,Zomato,11247,debit,UPI
2025-01-18,Game,514,debit,UPI
2025-02-18,Ola,9946,debit,UPI
2025-02-26,Ola,3850,debit,UPI
2025-09-04,Water,8461,debit,UPI
2025-03-14,Ola,3081,debit,UPI
2025-03-22,Amazon,812,debit,UPI
2025-01-21,House Rent,4829,debit,UPI
2025-04-24,Zomato,9848,debit,UPI
2025-03-02,Flipkart,18020,debit,UPI
2025-08-16,Spotify,5452,debit,UPI
2025-09-05,Uber,111,debit,UPI
2025-03-15,Uber,13580,debit,UPI
2025-04-27,Stock,10250,debit,UPI
2025-08-29,Swiggy,6233,debit,UPI
2025-02-21,Spotify,7457,debit,UPI
2025-02-11,Amazon,422,debit,UPI
2025-06-14,Game,15240,debit,UPI
2025-03-18,Mutual Fund,364,debit,UPI
2025-06-30,House Rent,7190,debit,UPI
2025-05-14,Uber,19180,debit,UPI
2025-01-24,Game,5086,debit,UPI
2025-05-28,Uber,11030,debit,UPI
2025-04-11,Electricity,15974,debit,UPI
2025-07-07,Movie,17080,debit,UPI
2025-07-27,Water,3063,debit,UPI
2025-05-20,Flipkart,9663,debit,UPI
2025-02-12,Swiggy,4344,debit,UPI
2025-07-17,Zomato,5670,debit,UPI
2025-02-25,Flipkart,3370,debit,UPI
2025-06-11,Swiggy,8160,debit,UPI
2025-07-06,Game,8936,debit,UPI
2025-05-18,Water,10824,debit,UPI
2025-03-06,Ola,8052,debit,UPI
2025-02-03,Amazon,15306,debit,UPI
2025-05-13,Electricity,11184,debit,UPI
2025-02-15,Netflix,1335,debit,UPI
2025-02-22,Zomato,8892,debit,UPI
2025-02-25,Flipkart,8226,debit,UPI
2025-02-23,Flipkart,16825,debit,UPI
2025-04-16,Electricity,5430,debit,UPI
2025-06-20,House Rent,3360,debit,UPI
2025-08-16,Movie,15161,debit,UPI
2025-01-17,Amazon,9634,debit,UPI
2025-03-11,Spotify,8023,debit,UPI
2025-08-05,Uber,10774,debit,UPI
2025-07-09,Zomato,12348,debit,UPI
2025-07-12,Mutual Fund,13293,credit,UPI
2025-05-07,Uber,4706,debit,UPI
2025-08-31,Water,6352,debit,UPI
2025-03-05,Zomato,4924,debit,UPI
2025-05-10,Swiggy,9476,debit,UPI
2025-05-28,House Rent,17110,debit,UPI
2025-04-24,Netflix,16046,debit,UPI
2025-03-09,Swiggy,9058,debit,UPI
2025-08-23,Swiggy,16886,debit,UPI
2025-01-22,Mutual Fund,3964,debit,UPI
2025-04-09,Uber,11666,debit,UPI
2025-08-25,Spotify,5264,debit,UPI
2025-08-26,Electricity,17171,debit,UPI
2025-05-29,Ola,422,debit,UPI
2025-07-03,Stock,8834,debit,UPI
2025-06-16,Ola,5422,debit,UPI
2025-05-11,Ola,11172,debit,UPI
2025-08-26,Game,10832,debit,UPI
2025-06-07,Water,12550,debit,UPI
2025-03-24,Netflix,2228,debit,UPI
2025-02-28,Netflix,6932,debit,UPI
2025-09-08,House Rent,4236,debit,UPI
2025-08-08,Flipkart,3191,debit,UPI
2025-04-12,Amazon,9515,debit,UPI
2025-02-21,Stock,11927,debit,UPI
2025-03-18,Water,3493,debit,UPI
2025-06-28,Swiggy,7065,debit,UPI
2025-04-17,Game,8716,debit,UPI
2025-06-27,Water,127,debit,UPI
2025-03-16,House Rent,8523,debit,UPI
2025-04-13,Electricity,18488,debit,UPI
2025-07-17,Flipkart,2173,debit,UPI
2025-07-14,Swiggy,1675,debit,UPI
2025-02-01,Water,1197,debit,UPI
2025-01-01,Prime,5485,debit,UPI
2025-06-16,Electricity,15020,debit,UPI
2025-07-12,Uber,15816,debit,UPI
2025-06-30,House Rent,2095,debit,UPI
2025-01-09,House Rent,7868,debit,UPI
2025-06-21,House Rent,7300,debit,UPI
2025-03-07,Ola,14624,debit,UPI
2025-06-01,Uber,12961,debit,UPI
2025-07-11,Movie,14881,debit,UPI
2025-06-11,Stock,13400,credit,UPI
2025-03-06,Uber,5320,debit,UPI
2025-02-10,House Rent,3416,debit,UPI
2025-07-25,Swiggy,19472,debit,UPI
2025-06-16,Uber,1483,debit,UPI
2025-09-05,Uber,3201,debit,UPI
2025-07-28,Movie,688,debit,UPI
2025-03-08,Uber,12470,debit,UPI
2025-07-28,Movie,3312,debit,UPI
2025-07-27,House Rent,17613,debit,UPI
2025-03-28,Ola,17928,debit,UPI
2025-09-02,Uber,19622,debit,UPI
2025-07-20,Mutual Fund,13778,credit,UPI
2025-03-12,Stock,720,debit,UPI
2025-08-04,Ola,4891,debit,UPI
2025-02-13,Spotify,4857,debit,UPI
2025-08-06,Movie,4053,debit,UPI
2025-06-25,Flipkart,18289,debit,UPI
2025-02-25,Swiggy,1441,debit,UPI
2025-06-20,Electricity,1803,debit,UPI
2025-05-27,Ola,17974,debit,UPI
2025-05-09,Spotify,1223,debit,UPI
2025-01-11,Water,5069,debit,UPI
2025-04-19,Ola,5228,debit,UPI
2025-06-18,Water,16342,debit,UPI
2025-01-03,Ola,9692,debit,UPI
2025-03-18,Flipkart,16977,debit,UPI
2025-07-18,Mutual Fund,10226,credit,UPI
2025-04-04,Swiggy,4969,debit,UPI
2025-05-11,House Rent,12807,debit,UPI
2025-04-18,Mutual Fund,14178,credit,UPI
2025-03-30,Uber,19725,debit,UPI
2025-08-19,Spotify,7090,debit,UPI
2025-09-01,Game,16499,debit,UPI
2025-02-14,Swiggy,8240,debit,UPI
2025-02-23,House Rent,2222,debit,UPI
2025-01-20,Swiggy,3255,debit,UPI
2025-05-06,House Rent,17415,debit,UPI
2025-05-12,Mutual Fund,16776,debit,UPI
2025-01-09,Amazon,8335,debit,UPI
2025-01-07,Electricity,5520,debit,UPI
2025-08-24,Electricity,13631,debit,UPI
2025-08-20,Uber,6219,debit,UPI
2025-03-30,House Rent,4728,debit,UPI
2025-07-21,Mutual Fund,16890,credit,UPI
2025-06-14,Spotify,3644,debit,UPI
2025-03-22,Water,9638,debit,UPI
2025-08-06,Netflix,2961,debit,UPI
2025-08-29,Swiggy,18120,debit,UPI
2025-01-03,House Rent,2016,debit,UPI
2025-05-26,Electricity,17037,debit,UPI
2025-04-08,Mutual Fund,2875,debit,UPI
2025-06-14,Stock,2820,debit,UPI
2025-04-20,Zomato,1203,debit,UPI
2025-05-10,Zomato,17715,debit,UPI
2025-04-22,Zomato,9416,debit,UPI
2025-01-12,Swiggy,4130,debit,UPI
2025-04-08,Movie,3023,debit,UPI
2025-03-17,Spotify,4925,debit,UPI
2025-03-28,Stock,19610,debit,UPI
2025-05-13,Stock,16028,debit,UPI
2025-05-07,Water,12123,debit,UPI
2025-07-19,Uber,4920,debit,UPI
2025-07-17,Ola,17810,debit,UPI
2025-03-19,Amazon,15001,debit,UPI
2025-08-25,Amazon,12438,debit,UPI
2025-08-26,Swiggy,13095,debit,UPI
2025-01-10,Swiggy,17912,debit,UPI
2025-05-25,House Rent,2844,debit,UPI
2025-09-04,Zomato,4442,debit,UPI
2025-04-18,Electricity,17812,debit,UPI
2025-06-26,Netflix,379,debit,UPI
2025-03-09,Movie,18210,debit,UPI
2025-05-13,Movie,2510,debit,UPI
2025-03-04,House Rent,10607,debit,UPI
2025-08-06,Spotify,15523,debit,UPI
2025-08-30,Movie,104,debit,UPI
2025-07-19,House Rent,5211,debit,UPI
2025-05-31,Uber,9155,debit,UPI
2025-03-23,Uber,3053,debit,UPI
2025-01-16,Electricity,16409,debit,UPI
2025-01-01,Electricity,15717,debit,UPI
2025-07-11,Netflix,7114,debit,UPI
2025-05-05,Stock,13331,debit,UPI
2025-03-17,Electricity,17223,debit,UPI
2025-05-14,House Rent,9552,debit,UPI
2025-06-03,Zomato,8178,debit,UPI
2025-02-03,Ola,7505,debit,UPI
2025-04-15,House Rent,19475,debit,UPI
2025-08-03,Uber,19190,debit,UPI
2025-03-09,Mutual Fund,14558,debit,UPI
2025-02-02,House Rent,14478,debit,UPI
2025-04-16,Stock,6737,debit,UPI
2025-03-14,Spotify,6467,debit,UPI
2025-08-29,Swiggy,17183,debit,UPI
2025-06-17,Uber,19697,debit,UPI
2025-02-28,Flipkart,19565,debit,UPI
2025-04-09,Spotify,18962,debit,UPI
2025-02-08,Amazon,959,debit,UPI
2025-08-08,Amazon,12358,debit,UPI
2025-02-14,Game,7115,debit,UPI
2025-02-06,Swiggy,12420,debit,UPI
2025-06-09,Game,617,debit,UPI
2025-07-31,Mutual Fund,7168,debit,UPI
2025-05-17,Mutual Fund,15456,credit,UPI
2025-05-03,Prime,17513,debit,UPI
2025-08-08,Game,17628,debit,UPI
2025-06-12,Netflix,11079,debit,UPI
2025-07-06,House Rent,6099,debit,UPI
2025-08-30,Ola,18648,debit,UPI
2025-03-29,Electricity,13684,debit,UPI
2025-04-26,Netflix,16371,debit,UPI
2025-01-20,Movie,14327,debit,UPI
2025-02-23,Stock,19480,credit,UPI
2025-01-30,Flipkart,13600,debit,UPI
2025-05-22,Amazon,15696,debit,UPI
2025-06-09,Electricity,10969,debit,UPI
2025-08-17,Flipkart,15751,debit,UPI
2025-08-22,Electricity,6304,debit,UPI
2025-01-31,Movie,7948,debit,UPI
2025-04-11,Mutual Fund,1089,debit,UPI
2025-06-28,House Rent,8083,debit,UPI
2025-03-15,Prime,14942,debit,UPI
2025-04-08,Electricity,8148,debit,UPI
2025-05-21,Ola,12168,debit,UPI
2025-03-21,Ola,15792,debit,UPI
2025-06-11,Uber,17578,debit,UPI
2025-01-26,Prime,19319,debit,UPI
2025-03-27,Mutual Fund,11217,debit,UPI
2025-01-23,Spotify,18758,debit,UPI
2025-03-09,Netflix,10935,debit,UPI
2025-02-06,Game,2934,debit,UPI
2025-04-28,House Rent,19131,debit,UPI
2025-05-29,Ola,18770,debit,UPI
2025-01-03,House Rent,18351,debit,UPI
2025-02-16,Game,10530,debit,UPI
2025-06-14,House Rent,5492,debit,UPI
2025-06-14,Movie,6955,debit,UPI
2025-07-30,Mutual Fund,6526,debit,UPI
2025-09-08,Flipkart,19847,debit,UPI
2025-06-24,Uber,6288,debit,UPI
2025-06-27,Mutual Fund,1336,debit,UPI
2025-05-29,Stock,17381,debit,UPI
2025-08-29,Spotify,15527,debit,UPI
2025-08-09,Mutual Fund,3301,debit,UPI
2025-05-29,Electricity,16298,debit,UPI
2025-05-20,Netflix,13157,debit,UPI
2025-01-21,Movie,6318,debit,UPI
2025-02-16,Movie,9831,debit,UPI
2025-01-26,Game,4252,debit,UPI
2025-06-25,Mutual Fund,1018,debit,UPI
2025-05-14,Water,14438,debit,UPI
2025-05-06,House Rent,17759,debit,UPI
2025-08-27,Mutual Fund,13793,debit,UPI
2025-01-29,Stock,7453,debit,UPI
2025-07-24,Ola,3224,debit,UPI
2025-03-17,Stock,1523,credit,UPI
2025-06-27,Swiggy,5424,debit,UPI
2025-02-06,Water,330,debit,UPI
2025-09-04,Prime,15271,debit,UPI
2025-06-14,Electricity,14109,debit,UPI
2025-02-01,Game,13494,debit,UPI
2025-09-02,Flipkart,669,debit,UPI
2025-04-15,Netflix,13769,debit,UPI
2025-02-04,Ola,8623,debit,UPI
2025-09-01,Prime,16271,debit,UPI
2025-03-15,Movie,2263,debit,UPI
2025-05-19,Electricity,13019,debit,UPI
2025-02-14,Game,7436,debit,UPI
2025-07-06,Electricity,9602,debit,UPI
2025-05-27,Game,11485,debit,UPI
2025-02-27,Game,7983,debit,UPI
2025-01-23,Mutual Fund,12580,debit,UPI
2025-08-27,Electricity,16168,debit,UPI
2025-01-17,Movie,9140,debit,UPI
2025-08-03,Water,5366,debit,UPI
2025-03-04,Zomato,5426,debit,UPI
2025-05-24,Prime,7824,debit,UPI
2025-07-20,Spotify,1863,debit,UPI
2025-01-10,Uber,17037,debit,UPI
2025-05-03,Mutual Fund,14826,debit,UPI
2025-08-16,Uber,4439,debit,UPI
2025-08-11,Ola,8806,debit,UPI
2025-05-31,Ola,14884,debit,UPI
2025-04-18,Game,12505,debit,UPI
2025-08-21,House Rent,7000,debit,UPI
2025-01-18,Netflix,8058,debit,UPI
2025-07-17,Netflix,9922,debit,UPI
2025-08-12,Amazon,3070,debit,UPI
2025-04-27,Game,784,debit,UPI
2025-05-27,House Rent,10874,debit,UPI
2025-01-13,Flipkart,15461,debit,UPI
2025-06-15,Movie,11693,debit,UPI
2025-03-18,Movie,4228,debit,UPI
2025-02-21,Zomato,14590,debit,UPI
2025-01-03,Water,7621,debit,UPI
2025-08-21,Game,3023,debit,UPI
2025-06-30,Stock,8433,credit,UPI
2025-03-30,Swiggy,3927,debit,UPI
2025-04-18,Ola,17918,debit,UPI
2025-02-15,Flipkart,10448,debit,UPI
2025-07-24,Swiggy,1510,debit,UPI
